This is first line
2019-03-16 12:32:10 status unpacked systemd-sysv:amd64 237-3ubuntu10.15
2019-03-16 12:32:10 upgrade libseccomp2:amd64 2.3.1-2.1ubuntu4 2.3.1-2.1ubuntu4.1
2019-03-16 12:32:10 status half-configured libseccomp2:amd64 2.3.1-2.1ubuntu4
2019-03-16 12:32:10 status unpacked libseccomp2:amd64 2.3.1-2.1ubuntu4
2019-03-16 12:32:10 status half-installed libseccomp2:amd64 2.3.1-2.1ubuntu4
2019-03-16 12:32:11 status half-installed libseccomp2:amd64 2.3.1-2.1ubuntu4
2019-03-16 12:32:11 status unpacked libseccomp2:amd64 2.3.1-2.1ubuntu4.1
2019-03-16 12:32:11 status unpacked libseccomp2:amd64 2.3.1-2.1ubuntu4.1
2019-03-16 12:32:11 startup packages configure
2019-03-16 12:32:11 configure libseccomp2:amd64 2.3.1-2.1ubuntu4.1 <none>
2019-03-16 12:32:11 status unpacked libseccomp2:amd64 2.3.1-2.1ubuntu4.1
2019-03-16 12:32:11 status half-configured libseccomp2:amd64 2.3.1-2.1ubuntu4.1
2019-03-16 12:32:11 status installed libseccomp2:amd64 2.3.1-2.1ubuntu4.1
2019-03-16 12:32:11 startup archives unpack
2019-03-16 12:32:12 upgrade libidn11:amd64 1.33-2.1ubuntu1 1.33-2.1ubuntu1.1
2019-03-16 12:32:12 status half-configured libidn11:amd64 1.33-2.1ubuntu1
2019-03-16 12:32:12 status unpacked libidn11:amd64 1.33-2.1ubuntu1
2019-03-16 12:32:12 status half-installed libidn11:amd64 1.33-2.1ubuntu1
2019-03-16 12:32:12 status half-installed libidn11:amd64 1.33-2.1ubuntu1
2019-03-16 12:32:12 status unpacked libidn11:amd64 1.33-2.1ubuntu1.1
2019-03-16 12:32:12 status unpacked libidn11:amd64 1.33-2.1ubuntu1.1
2019-03-16 12:32:12 upgrade python3-gi-cairo:amd64 3.26.1-2 3.26.1-2ubuntu1
2019-03-16 12:32:12 status half-configured python3-gi-cairo:amd64 3.26.1-2
2019-03-16 12:32:12 status unpacked python3-gi-cairo:amd64 3.26.1-2
2019-03-16 12:32:12 status half-installed python3-gi-cairo:amd64 3.26.1-2
2019-03-16 12:32:13 status half-installed python3-gi-cairo:amd64 3.26.1-2
2019-03-16 12:32:13 status unpacked python3-gi-cairo:amd64 3.26.1-2ubuntu1
2019-03-16 12:32:13 status unpacked python3-gi-cairo:amd64 3.26.1-2ubuntu1
2019-03-16 12:32:14 upgrade libgtk-3-common:all 3.22.30-1ubuntu1 3.22.30-1ubuntu2
2019-03-16 12:32:14 status half-configured libgtk-3-common:all 3.22.30-1ubuntu1
2019-03-16 12:32:14 status unpacked libgtk-3-common:all 3.22.30-1ubuntu1
2019-03-16 12:32:14 status half-installed libgtk-3-common:all 3.22.30-1ubuntu1
2019-03-16 12:32:14 status triggers-pending libglib2.0-0:amd64 2.56.3-0ubuntu0.18.04.1
2019-03-16 12:32:14 status half-installed libgtk-3-common:all 3.22.30-1ubuntu1
2019-03-16 12:32:14 status half-installed libgtk-3-common:all 3.22.30-1ubuntu1
2019-03-16 12:32:15 status unpacked libgtk-3-common:all 3.22.30-1ubuntu2
2019-03-16 12:32:15 status unpacked libgtk-3-common:all 3.22.30-1ubuntu2
2019-03-16 12:32:15 upgrade libgail-3-0:amd64 3.22.30-1ubuntu1 3.22.30-1ubuntu2
2019-03-16 12:32:15 status half-configured libgail-3-0:amd64 3.22.30-1ubuntu1
2019-03-16 12:32:15 status unpacked libgail-3-0:amd64 3.22.30-1ubuntu1
2019-03-16 12:32:15 status half-installed libgail-3-0:amd64 3.22.30-1ubuntu1
2019-03-16 12:32:15 status half-installed libgail-3-0:amd64 3.22.30-1ubuntu1
2019-03-16 12:32:15 status unpacked libgail-3-0:amd64 3.22.30-1ubuntu2
